en;nl;fr;de;sv;pl;no;es;it;pt;lv;lt
Quotations Overview;Overzicht van offertes;Aperçu des devis;Angebotsübersicht;Offertöversikt;Przegląd ofert;Tilbudoversikt;Resumen de cotizaciones;Panoramica dei preventivi;Visão geral das cotações;Piedāvājumu pārskats;Pasiūlymų apžvalga
Quantity;Aantal;Quantité;Menge;Antal;Ilość;Antall;Cantidad;Quantità;Quantidade;Daudzums;Kiekis
Discount (%);Korting (%);Remise (%);Rabatt (%);Rabatt (%);Rabat (%);Rabatt (%);Descuento (%);Sconto (%);Desconto (%);Atlaide (%);Nuolaida (%)
VAT;BTW;TVA;MwSt.;Moms;VAT;MVA;IVA;IVA;IVA;PVN;PVM
No.;Nr.;N°;Nr.;Nr.;Nr.;Nr.;Núm.;N.;N.;Nr.;Nr.
Sales prices;Verkoopprijzen;Prix de vente;Verkaufspreise;Försäljningspriser;Ceny sprzedaży;Salgspriser;Precios de venta;Prezzi di vendita;Preços de venda;Pārdošanas cenas;Pardavimo kainos
Cost prices;Inkoopprijzen;Prix d'achat;Einkaufspreise;Inköpspriser;Ceny zakupu;Kostpriser;Precios de coste;Prezzi di costo;Preços de custo;Iepirkuma cenas;Pirkimo kainos
Group purchase price;Groep inkoopprijs;Prix d'achat de groupe;Gruppen-Einkaufspreis;Gruppinköpspris;Cena zakupu grupowego;Gruppe innkjøpspris;Precio de compra de grupo;Prezzo di acquisto di gruppo;Preço de compra em grupo;Grupas iepirkuma cena;Grupės pirkimo kaina
Group profit margin;Groep winstmarge;Marge bénéficiaire de groupe;Gruppen-Gewinnspanne;Gruppmarginal;Marża zysku grupy;Gruppe fortjenestemargin;Margen de beneficio de grupo;Margine di profitto di gruppo;Margem de lucro do grupo;Grupas peļņas marža;Grupės pelno marža
State;Provincie;Région;Bundesland;Land;Kraj;Land;Estado;Stato;Estado;Valsts;Būsena
Archive quotations after publishing;Offertes archiveren na publicatie;Archiver les devis après leur publication;Angebot nach Veröffentlichung archivieren;Arkivera offerter efter offentliggörandet.;Archiwizuj ofertę po opublikowaniu;Tilbudet arkiveres etter publisering;Archivar citas después de publicar;Archiviare le citazioni dopo la pubblicazione;Arquivar citações após a publicação;Arhīva piedāvājums pēc publicēšanas;Archyvo pasiūlymas po leidybos
Quotations that are created with a previous published version will get the status 'Archived' and can no longer be edited.;Offertes die zijn gemaakt met een eerder gepubliceerde versie van het configuratiemodel krijgen de status 'Gearchiveerd' en kunnen niet meer worden bewerkt.;"Les offres créées à partir d'une version publiée précédente obtiennent le statut """"Archivé"""" et ne peuvent plus être modifiées.";Angebote, die mit einer älteren veröffentlichten Version des Konfigurationsmodells erstellt wurden, erhalten den Status 'Archiviert' und können nicht mehr bearbeitet werden.;"Tidigare offentliggjorda offerter kommer att få statusen """"Arkiverad"""" och kan inte längre redigeras.";Oferty utworzone za pomocą poprzedniej wersji otrzymają status „Zarchiwizowane” i nie będzie można ich już edytować.;Tilbud som er opprettet med en tidligere publisert versjon vil få statusen 'Arkivert' og kan ikke lenger redigeres.;Las cotizaciones que se crean con una versión publicada anterior obtendrán el estado 'Archivado' y ya no se podrán editar.;"Le citazioni create con una versione precedentemente pubblicata avranno lo stato ""Archiviato"" e non potranno più essere modificate.";As citações criadas com uma versão publicada anteriormente receberão o status 'Arquivadas' e não poderão mais ser editadas.;Piedāvājumi, kas izveidoti ar iepriekšējo publicēto versiju, iegūs statusu “arhivēts”, un tos vairs nevar rediģēt.;Pasiūlymai, sukurti naudojant ankstesnę paskelbtą versiją, gaus būseną „archyvuota“ ir nebegali būti redaguoti.
Note: copying and revising archived quotations may cause broken configurations. Please use the configuration code if you want to use the same configuration that is placed in an archived quotation.;Opmerking: Het kopiëren en bewerken van gearchiveerde offertes kan leiden tot gebroken configuraties. Om dezelfde configuratie uit een gearchiveerde offerte te gebruiken, gebruikt de configuratiecode.;Remarque : la copie et la révision des devis archivées peuvent entraîner la rupture des configurations. Veuillez utiliser le code de configuration si vous souhaitez utiliser la même configuration que celle placée dans un devis archivé.;Hinweis: Das Kopieren und Bearbeiten von archivierten Angeboten kann zu fehlerhaften Konfigurationen führen. Um die gleiche Konfiguration aus einem archivierten Angebot zu verwenden, verwenden Sie bitte den Konfigurationscode.;Obs: kopiering och revidering av arkiverade offerter kan leda till att konfigurationen inte längre fungerar. Använd konfigurationskoden om du vill behålla samma konfiguration som finns i en arkiverad offert.;Uwaga: kopiowanie i poprawianie zarchiwizowanych ofert może spowodować uszkodzenie konfiguracji. Użyj kodu konfiguracji, jeśli chcesz użyć tej samej konfiguracji, która jest umieszczona w zarchiwizowanej ofercie.;Merk: Kopiering og revidering av arkiverte tilbud kan føre til ødelagte konfigurasjoner. Bruk konfigurasjonskoden hvis du vil bruke den samme konfigurasjonen som finnes i et arkivert tilbud.;Nota: copiar y revisar cotizaciones archivadas puede causar configuraciones rotas. Utilice el código de configuración si desea utilizar la misma configuración que se coloca en una cotización archivada.;Nota: copiare e revisionare le citazioni archiviate potrebbe causare configurazioni non funzionanti. Si prega di utilizzare il codice di configurazione se si desidera utilizzare la stessa configurazione presente in una citazione archiviata.;Nota: copiar e revisar cotações arquivadas pode causar falhas nas configurações. Por favor, use o código de configuração se desejar usar a mesma configuração colocada em uma cotação arquivada.;Piezīme: Arhivētu piedāvājumu kopēšana un pārskatīšana var izraisīt salauztas konfigurācijas. Lūdzu, izmantojiet konfigurācijas kodu, ja vēlaties izmantot to pašu konfigurāciju, kas ievietota arhivētā piedāvājumā.;Pastaba: kopijavimas ir archyvuotų pasiūlymų peržiūra gali sukelti sugedusias konfigūracijas. Naudokite konfigūracijos kodą, jei norite naudoti tą pačią konfigūraciją, kuri įdedama į archyvuotą pasiūlymą.
Default status for archiving quotations;Standaardstatus voor het archiveren van offertes;Statut par défaut pour les devis archivés;Standardstatus für das Archivieren von Angeboten;Standardstatus vid arkivering av offerter.;Domyślny status archiwizacji ofert;Standard status for arkivering av tilbud;Estado predeterminado para archivar cotizaciones;Stato predefinito per l'archiviazione delle citazioni;Status padrão para arquivamento de cotações;Noklusējuma statuss arhivēšanas piedāvājumiem;Numatytoji archyvavimo pasiūlymų būsena
Default status for revised quotations;Standaardstatus voor herziene offertes;Statut par défaut pour les devis révisés;Standardstatus für überarbeitete Angebote;Standardstatus vid revidering av offerter.;Stan domyślny dla poprawionych ofert;Standard status for reviderte tilbud;Estado predeterminado para cotizaciones revisadas;Stato predefinito per le citazioni revisionate;Status padrão para cotações revisadas;Pārskatīto piedāvājumu noklusējuma statuss;Numatytoji pataisytų pasiūlymų būsena
Default status for expired quotations;Standaardstatus voor verlopen offertes;Statut par défaut des offres expirées;Standardstatus für abgelaufene Angebote;Standardstatus på förfallna offerter.;Stan domyślny dla wygasłych ofert;Standard status for utlpte tilbud;Estado predeterminado para cotizaciones vencidas;Stato predefinito per le citazioni scadute;Status padrão para cotações expiradas;Noklusējuma statuss piedāvājumiem, kuriem beidzies derīguma termiņš;Numatytoji pasiūlymų būsena
Default CRM account;Standaard CRM account;Compte CRM par défaut;Standard CRM Account;Standard CRM-konto.;Domyślne konto CRM;Standard CRM-konto;Cuenta CRM predeterminada;Account CRM predefinito;Conta CRM padrão;Noklusējuma CRM konts;Numatytoji CRM paskyra
Select a default CRM that is automatically set in the quotation as the seller field.;Selecteer een standaard CRM account die automatisch wordt toegewezen als de verkoper in de offerte.;Sélectionnez un CRM par défaut qui est automatiquement défini dans les devis comme champ du vendeur.;Wählen Sie einen Standard-CRM-Account, der automatisch als Verkäufer im Angebot eingetragen wird.;Välj ett standard CRM som automatiskt ställs in som säljare i offerten.;Wybierz domyślny CRM, który jest automatycznie ustawiany w ofercie jako pole sprzedawcy.;Velg en standard CRM som automatisk angis som selgerfelt i tilbudet.;Seleccione un CRM predeterminado que se establezca automáticamente en la cotización como el campo del vendedor.;Seleziona un CRM predefinito che verrà automaticamente impostato nella citazione come campo del venditore.;Selecione um CRM padrão que seja definido automaticamente na cotação como campo do vendedor.;Atlasiet noklusējuma CRM, kas tiek automātiski iestatīts piedāvājumā kā pārdevēja lauks.;Pasirinkite numatytąjį CRM, kuris automatiškai nustatomas pasiūlyme kaip pardavėjo laukas.
Hide total quotation discount field;Verberg totale offertekorting veld;Masquer le champ de remise totale de l'devis;Blende Schirmfeld des Gesamtangebotsrabatt aus;Dölj totalrabattfältet i offerten.;Ukryj pole rabatu dla oferty;Skjul feltet for den totalrabatten i tilbudet;Ocultar campo de descuento de cotización total;Nascondi campo sconto totale della citazione;Ocultar campo de desconto total da cotação;Slēpt kopējo piedāvājuma atlaižu lauku;Slėpti bendrą pasiūlymo nuolaidų lauką
